==============================================================================
NEW TEST STARTED -> REFERENCE ANGLE: 0.0000 rad
==============================================================================
Time (ms),Original Ref (rad),Final Ref (rad),Angle (rad),TrialNum,TrialValue,U_Actual (V)
2090,0.00000,0.00000,0.01428,1,0.00,0.14620
2095,0.00000,0.00000,-0.01428,1,0.00,-0.59863
2100,0.00000,0.00000,-0.01428,1,0.00,-0.57753
2105,0.00000,0.00000,0.00000,1,0.00,0.00093
2110,0.00000,0.00000,0.00000,1,0.00,-0.55172
2115,0.00000,0.00000,-0.02856,1,0.00,-0.65994
2120,0.00000,0.00000,0.01428,1,0.00,0.13798
2125,0.00000,0.00000,0.00000,1,0.00,-0.56029
2130,0.00000,0.00000,0.00000,1,0.00,-0.55803
2135,0.00000,0.00000,0.00000,1,0.00,0.00874
2140,0.00000,0.00000,0.02856,1,0.00,0.20122
2145,0.00000,0.00000,-0.01428,1,0.00,-0.60647
2150,0.00000,0.00000,-0.01428,1,0.00,-0.58090
2155,0.00000,0.00000,0.01428,1,0.00,0.15542
2160,0.00000,0.00000,0.00000,1,0.00,-0.00492
2165,0.00000,0.00000,-0.01428,1,0.00,-0.59700
2170,0.00000,0.00000,0.01428,1,0.00,0.14714
2175,0.00000,0.00000,0.00000,1,0.00,-0.55377
2180,0.00000,0.00000,-0.01428,1,0.00,-0.60578
2185,0.00000,0.00000,0.00000,1,0.00,-0.00580
2190,0.00000,0.00000,0.01428,1,0.00,0.11987
2195,0.00000,0.00000,-0.01428,1,0.00,-0.61563
2200,0.00000,0.00000,0.00000,1,0.00,-0.00001
2205,0.00000,0.00000,0.01428,1,0.00,0.13357
2210,0.00000,0.00000,0.00000,1,0.00,-0.55363
2215,0.00000,0.00000,-0.02856,1,0.00,-0.65764
2220,0.00000,0.00000,0.00000,1,0.00,0.09272
2225,0.00000,0.00000,0.01428,1,0.00,0.13313
2230,0.00000,0.00000,0.00000,1,0.00,0.09401
2235,0.00000,0.00000,0.00000,1,0.00,0.10120
2240,0.00000,0.00000,0.02856,1,0.00,0.21343
2245,0.00000,0.00000,-0.01428,1,0.00,-0.59313
2250,0.00000,0.00000,0.00000,1,0.00,0.10220
2255,0.00000,0.00000,0.01428,1,0.00,0.14142
2260,0.00000,0.00000,0.00000,1,0.00,-0.55823
2265,0.00000,0.00000,-0.01428,1,0.00,-0.60192
2270,0.00000,0.00000,-0.01428,1,0.00,-0.59669
2275,0.00000,0.00000,0.00000,1,0.00,-0.55423
